question_class,questions,image_id,correct_answer,correct_idx,model_answers,microns_per_pixel,domain,subdomain,modality,submodality,normal_or_abnormal
stain,"['What is the most likely technique used to stain this micrograph? Papanicolaou', 'What is the most likely technique used to stain this micrograph? IHC(HDab)', 'What is the most likely technique used to stain this micrograph? Ziehl-Neelsen', 'What is the most likely technique used to stain this micrograph? IHC(Red)', 'What is the most likely technique used to stain this micrograph? Giemsa', 'What is the most likely technique used to stain this micrograph? none of the above']",b4123130-8cc4-44ed-b80b-751963c94255,IHC(HDab),1,"{'pred': [1], 'probs': [[0.0001722677261568606, 0.9567026495933533, 2.198886613768991e-05, 0.04273604229092598, 2.1512376406462863e-05, 0.00034561369102448225]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? IHC(HDab)']}",2.0,,,,,
modality,"['What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",3185daeb-0c3b-4216-bea6-2744061308ee,light microscopy,0,"{'pred': [0], 'probs': [[0.9967424273490906, 0.0032557069789618254, 5.3666443733391134e-08, 1.85274473096797e-06]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",2.0,,,,,
modality,"['What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",c4a09947-99c6-460f-8e83-96d0f87ae629,light microscopy,1,"{'pred': [1], 'probs': [[1.7804622984840535e-05, 0.9999809265136719, 1.4059372688279836e-07, 1.1060515134886373e-06]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",2.0,,,,,
domain,"['What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? none of the above']",6d8dface-dc20-47fa-91a5-43811a84780d,pathology,4,"{'pred': [4], 'probs': [[0.0002082336723105982, 6.002322606946109e-06, 1.961241287062876e-05, 9.036684059537947e-05, 0.9996728897094727, 2.849908014468383e-06]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",2.0,,,,,
submodality,"['What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",6da359ff-1c25-4d61-bd99-9249196d523c,brightfield microscopy,1,"{'pred': [1], 'probs': [[1.8481522090496583e-08, 0.9999630451202393, 2.309231240360532e-05, 7.280065801751334e-06, 6.179101092129713e-06, 3.55447411948262e-07]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",2.0,,,,,
domain,"['What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? none of the above']",1a3f2dd9-482f-4e1b-8787-440608fa185a,pathology,1,"{'pred': [1], 'probs': [[1.0487709914741572e-05, 0.9990721940994263, 6.811595085309818e-06, 0.0007138497312553227, 0.00019254899234510958, 4.056960278830957e-06]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",2.0,,,,,
stain,"['What is the most likely technique used to stain this micrograph? Papanicolaou', 'What is the most likely technique used to stain this micrograph? Alcian Blue', 'What is the most likely technique used to stain this micrograph? H&E', 'What is the most likely technique used to stain this micrograph? Basic fuchsin', 'What is the most likely technique used to stain this micrograph? IHC(HDab)', 'What is the most likely technique used to stain this micrograph? none of the above']",dfa8385e-7b49-4e43-bcf3-bc3aca9727c5,IHC(HDab),4,"{'pred': [4], 'probs': [[0.0014723418280482292, 8.281799637188669e-07, 1.557306677568704e-05, 3.690754601848312e-05, 0.9983073472976685, 0.00016696001694072038]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? IHC(HDab)']}",2.0,,,,,
domain,"['What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? none of the above']",3ba7ff32-4da8-46dd-bab1-cf11ee4560f9,pathology,1,"{'pred': [1], 'probs': [[5.6080567446770146e-05, 0.9967494010925293, 0.00035960960667580366, 0.00012333838094491512, 0.002560804132372141, 0.00015084276674315333]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",2.0,,,,,
stain,"['What is the most likely technique used to stain this micrograph? IHC(Red)', 'What is the most likely technique used to stain this micrograph? PAS', 'What is the most likely technique used to stain this micrograph? Congo Red', 'What is the most likely technique used to stain this micrograph? Toluidine Blue', 'What is the most likely technique used to stain this micrograph? IHC(HDab)', 'What is the most likely technique used to stain this micrograph? none of the above']",103a5bce-4b44-4597-b233-2fee4ff83ba3,IHC(HDab),4,"{'pred': [4], 'probs': [[0.0014284494100138545, 0.007084179203957319, 7.667489990126342e-05, 2.3828440021134156e-07, 0.9907662868499756, 0.0006442935555242002]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? IHC(HDab)']}",2.0,,,,,
submodality,"['What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",b62e1320-4b74-456b-8773-f73a75e9ccd3,brightfield microscopy,4,"{'pred': [4], 'probs': [[0.000579823215957731, 0.0001251763169420883, 0.00030089382198639214, 0.0009753107442520559, 0.9979841709136963, 3.456490958342329e-05]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",2.0,,,,,
