question_type,questions,image_id,correct_answer,correct_idx,model_answers,microns_per_pixel,domain,subdomain,modality,submodality,normal_or_abnormal
subdomain,"['What is the most likely subfield of study this micrograph would be used for? cardiovascular pathology', 'What is the most likely subfield of study this micrograph would be used for? pancreatic pathology', 'What is the most likely subfield of study this micrograph would be used for? head and neck pathology', 'What is the most likely subfield of study this micrograph would be used for? gynecologic pathology', 'What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",554e31b1-5db2-425b-a710-eafa864ea32b,neuropathology,4,"{'pred': [4], 'probs': [[1.0544987105731707e-09, 9.96672119835118e-11, 1.142340000370723e-09, 1.8841250781775898e-10, 1.0, 1.2807279108767444e-12]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? neuropathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? autopsy pathology', 'What is the most likely subfield of study this micrograph would be used for? renal and medical kidney pathology', 'What is the most likely subfield of study this micrograph would be used for? cardiovascular pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",7f8f8a3a-b97d-4291-b751-329c4174c70c,neuropathology,1,"{'pred': [1], 'probs': [[4.44950183009496e-06, 0.9999897480010986, 4.055670615343843e-06, 1.3500741715688491e-06, 2.730911319304141e-07, 6.275682551404316e-08]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? neuropathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? hepatobiliary pathology', 'What is the most likely subfield of study this micrograph would be used for? autopsy pathology', 'What is the most likely subfield of study this micrograph would be used for? pancreatic pathology', 'What is the most likely subfield of study this micrograph would be used for? gynecologic pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",e54e0ced-a31f-4ad4-9b5d-446b99bd089a,neuropathology,0,"{'pred': [0], 'probs': [[0.9999998807907104, 1.3263429243792757e-10, 1.69014256812261e-07, 8.331212386636366e-10, 5.530868540937206e-10, 5.1792636152070415e-11]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? neuropathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
submodality,"['What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",f449e7ef-047a-422d-b46e-a29f65577dbf,brightfield microscopy,4,"{'pred': [4], 'probs': [[3.894884059718606e-08, 9.002191895569889e-13, 1.2306041519138944e-08, 6.815090500822407e-07, 0.9999992847442627, 9.161283537340026e-11]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",a492a6e4-04f0-4831-a299-cc462a47d15a,light microscopy,2,"{'pred': [2], 'probs': [[9.22943925729669e-08, 8.085066127705431e-08, 0.9999997615814209, 6.028859189655122e-08]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? none of the above']",7df4aaed-7e5f-49c6-8170-3a4d0d5754a9,pathology,0,"{'pred': [0], 'probs': [[0.9999988079071045, 6.275799790955716e-08, 7.869352884881664e-07, 9.434045766809618e-10, 2.0897179808798683e-07, 1.1874914385145985e-08]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? blood banking and transfusion medicine', 'What is the most likely subfield of study this micrograph would be used for? forensic pathology', 'What is the most likely subfield of study this micrograph would be used for? endocrine pathology', 'What is the most likely subfield of study this micrograph would be used for? genitourinary pathology', 'What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",da6f434b-8e20-4ec0-bb9c-d5d2a25ee9f1,neuropathology,4,"{'pred': [4], 'probs': [[5.2696426866213897e-14, 4.225433087867714e-07, 5.42928202396098e-10, 6.651946246431784e-13, 0.9999995231628418, 1.7733118792828684e-11]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? neuropathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? none of the above']",623750fb-8580-4d14-8f94-9612d4712b79,pathology,0,"{'pred': [0], 'probs': [[1.0, 3.5452725824502984e-12, 5.8661981938712415e-08, 1.3198497850197555e-10, 4.1963624242136177e-10, 4.152707511195786e-09]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? ophthalmic pathology', 'What is the most likely subfield of study this micrograph would be used for? clinical pathology', 'What is the most likely subfield of study this micrograph would be used for? surgical pathology', 'What is the most likely subfield of study this micrograph would be used for? head and neck pathology', 'What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",16bd85fa-fe49-45f6-8bf1-ac3b4414ec2c,neuropathology,4,"{'pred': [4], 'probs': [[1.2176104974059854e-05, 7.71106911656716e-08, 2.7605114638618033e-08, 1.98668423934123e-08, 0.9999877214431763, 6.083715475835305e-11]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? neuropathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? blood banking and transfusion medicine', 'What is the most likely subfield of study this micrograph would be used for? autopsy pathology', 'What is the most likely subfield of study this micrograph would be used for? genitourinary pathology', 'What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? gastrointestinal pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",6da359ff-1c25-4d61-bd99-9249196d523c,neuropathology,3,"{'pred': [3], 'probs': [[2.9090195963893395e-13, 6.572223014700285e-07, 1.3041057816964852e-11, 0.9999992847442627, 1.0775771386306587e-09, 2.91766333315735e-11]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? neuropathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? none of the above']",99eb5c41-5b85-455a-a2a2-bfd2700bfb2e,pathology,3,"{'pred': [3], 'probs': [[1.11968127214368e-07, 1.9200525969154114e-07, 6.299525807662576e-07, 0.9999990463256836, 2.8672763718873284e-08, 3.2235549785042394e-09]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
submodality,"['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? mixed', 'What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",e9bd085e-f4a8-4aaa-8e3e-f5adebc69f80,brightfield microscopy,0,"{'pred': [0], 'probs': [[0.9999998807907104, 2.1559354995703828e-11, 1.1376567243814861e-08, 1.5069902303821436e-07, 4.6318074709006396e-08, 4.8489028764420183e-11]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
stain,"['What is the most likely technique used to stain this micrograph? synthetic', 'What is the most likely technique used to stain this micrograph? IHC(HDab)', 'What is the most likely technique used to stain this micrograph? Ziehl-Neelsen', 'What is the most likely technique used to stain this micrograph? Toluidine Blue', 'What is the most likely technique used to stain this micrograph? Congo Red', 'What is the most likely technique used to stain this micrograph? none of the above']",4710fc7e-d03c-444d-9d15-ef542863cbdf,IHC(HDab),1,"{'pred': [1], 'probs': [[6.916731631889661e-09, 0.9999955892562866, 7.973817872652944e-08, 1.0968737029770637e-07, 1.5421744592458708e-06, 2.6414322746859398e-06]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? IHC(HDab)']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
